total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3806456,266210.7418,1341.680751,1108256.883,1884792,16259388.47,5753246.347,10506142.12,8,1713847.887,55763.70892,345.399061,3797,20,23320,30583.71907,lg
3806456,262556.5607,1338.116822,1108284.019,1884792,16296052.75,5559075.364,10736977.38,8,1713106.542,58439.73832,343.8878505,3797,20,23376,30523.02892,lg
3806456,260751.8685,1336.394366,1108303.906,1884792,16308329.46,5568175.286,10740154.18,8,1708529.577,61113.53052,338.4553991,3797,20,23348,30004.86853,lg
3806456,259502.554,1335.230047,1108323.906,1884792,16314071.66,5431528.413,10882543.25,8,1718535.211,63785.61972,349.2723005,3749,20,23353,30578.92857,lg
3806456,257378.9859,1333.230047,1108348,1884792,16316908.17,5196168.451,11120739.72,8,1711774.648,66464.723,342.9671362,3763,20,23382,30176.46626,lg
3806456,255973.277,1331.784038,1108384,1884792,16318190.08,5310683.493,11007506.59,8,1710152.113,69144.3662,345.6713615,3787,20,23293,30491.87509,lg
3806456,343699.6262,1400.135514,1090597.29,1884792,16230763.29,5866804.822,10363958.47,8,1716874.766,3104.364486,338.411215,3810,20,24265,31285.99838,lg
3806456,351774.8246,1407.976303,1090538.73,1884792,16282711.96,5665678.635,10617033.33,8,1716079.621,5829.379147,367.7298578,3810,20,23352,32717.33731,lg
3806456,343805.6226,1400.768868,1091234.698,1884792,16294444.26,5174780.83,11119663.43,8,1714052.83,8510.240566,358.0566038,3778.018868,20,23263,31468.89774,lg
3806456,342947.4717,1399.54717,1090794.925,1884792,16293787.51,5186285.698,11107501.81,8,1717494.34,11190.56132,332.6226415,3750,20,23310,29075.37665,lg
3806456,349272.5849,1405.339623,1090376.792,1884792,16277364.57,5282120.453,10995244.11,8,1708890.566,13871.25472,347.5330189,3750,20,23279,30338.3293,lg
3806456,350712.4883,1406.769953,1090402.404,1884792,16303127.77,5402241.803,10900885.97,8,1715109.859,16535.75117,343.2676056,3750,20,23301,29994.2943,lg
3806456,350202.7981,1406.244131,1090425.371,1884792,16269513.77,5909950.498,10359563.27,8,1716191.549,19209.74178,320.6807512,3750.530516,20,23389,28130.48692,lg
3806456,348241,1404.353774,1090490.736,1884792,15719031.74,5782063.698,9936968.038,8,1712150.943,21877.42453,319.0471698,3751,20,23247,27820.75273,lg
3806456,316639.4311,1374.217778,1091135.289,1884792,14722768.92,4580327.716,10142441.21,8,1715797.333,24842.70222,352.0977778,3751,20,30911,40824.73773,lg
3806456,316512.0563,1373.967136,1091084.638,1884792,16242449.24,5589532.582,10652916.66,8,1717002.817,27599.86385,343.3615023,3739.328638,20,23271,29878.60263,lg
3806456,328432.0188,1385.798122,1091121.615,1884792,12943979.31,4145871.662,8798107.643,8,1693836.62,30392.89202,203.5305164,3729,20,23346,17718.8038,lg
3806456,266551.7463,1342.64878,1108950.673,1884792,13641958.13,4066516.488,9575441.639,8,1711328.78,3392.804878,254.4878049,3864,20,24376,23969.91724,lg
3806456,286708.2654,1362.682464,1109197.896,1884792,13804090.81,4643906.995,9160183.81,8,1717171.564,12171.73934,247.4218009,3796,20,23191,21781.29231,lg
3806456,611002.8357,1438.183099,862232.1878,1884792,16327269.78,5365225.577,10962044.21,8,1715650.704,25834.61972,345.1126761,3763,20,23324,30289.92252,lg
3806456,612269.8131,1439.542056,862251.9065,1884792,16267110.92,5822609.794,10444501.12,8,1724142.056,28501.73364,341.2943925,3763,20,23324,29954.7986,lg
